capacity_kwh,idle_fuel_fraction,pack_mass_delta_kg,fuel_capacity_cost_kg,discharge_enabling_benefit_kg,charge_ceiling_benefit_kg,gross_operational_benefit_kg,net_fuel_benefit_kg,loiter_endurance_h,endurance_change_h
10.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,14.381919020742917,0.0
10.25,0.15,1.3333333333333286,1.2461059190030142,0.8550509101524995,0.2829904796719802,1.1380413898244797,-0.10806452917853449,14.373874959436053,-0.008044061306863526
10.5,0.15,2.6666666666666643,2.492211838006199,1.6595436609037506,0.5911251734796679,2.2506688343834185,-0.24154300362278036,14.363935135897847,-0.017983884845069298
10.75,0.15,4.0,3.7383177570093267,2.417343219377244,0.9216931799302301,3.3390363993074743,-0.39928135770185236,14.352179818901561,-0.029739201841355367
11.0,0.15,5.333333333333329,4.984423676012398,3.1319436082229686,1.2721897356660747,4.404133343889043,-0.5802903321233543,14.338684620933467,-0.04323439980944954
11.210476464413189,0.15,6.455874476870335,6.033527548476968,3.702453743977344,1.581070634104094,5.283524378081438,-0.7500031703955301,14.32602574246696,-0.05589327827595625
11.25,0.15,6.666666666666664,6.2305295950155255,3.704893013136939,1.631173770983196,5.336066784120135,-0.8944628108953907,14.315251682626322,-0.06666733811659498
11.5,0.15,8.0,7.476635514018653,3.719931265116088,1.9459037378115909,5.665835002927679,-1.8108005110909744,14.246840810830552,-0.13507820991236485
11.75,0.15,9.333333333333329,8.722741433021724,3.7343255302408807,2.2568956448266135,5.991221175067494,-2.73152025795423,14.177994483222102,-0.2039245375208143
12.0,0.15,10.666666666666664,9.968847352024852,3.7481163128642265,2.564235485042559,6.312351797906786,-3.6564955541180666,14.108724390554944,-0.2731946301879731
12.25,0.15,11.999999999999993,11.214953271028037,3.761340789923338,2.867964513055199,6.629305302978537,-4.5856479680495,14.039041937477814,-0.3428770832651029
12.5,0.15,13.333333333333336,12.461059190031051,3.7740331457897582,3.168102764233936,6.942135910023694,-5.518923280007357,13.968958250892182,-0.41296076985073427
12.75,0.15,14.666666666666664,13.707165109034236,3.7862248674659895,3.4646990447586177,7.250923912224607,-6.4562411968096285,13.898484188002099,-0.48343483274081755
13.0,0.15,15.999999999999993,14.953271028037364,3.797945005522024,3.757846838783621,7.555791844305645,-7.397479183731718,13.827630344071311,-0.5542886766716055
13.25,0.15,17.333333333333336,16.199376947040435,3.8092204053051546,4.047588153794663,7.856808559099818,-8.342568387940617,13.756407059902672,-0.6255119608402442
13.5,0.15,18.666666666666664,17.445482866043562,3.8200759123112675,4.333937029311755,8.154012941623023,-9.29146992442054,13.684824429052478,-0.6970945916904387
13.75,0.15,19.999999999999993,18.69158878504669,3.8305345550211314,4.616945897044161,8.447480452065292,-10.244108332981398,13.612892304793078,-0.7690267159498383
14.0,0.15,21.333333333333336,19.93769470404976,3.840617708042714,4.8967453965336745,8.737363104576389,-11.200331599473373,13.540620306834503,-0.8412987139084134
14.25,0.15,22.666666666666664,21.18380062305289,3.850345237967872,5.173299438678896,9.023644676646768,-12.160155946406121,13.468017827816505,-0.9139011929264118
14.5,0.15,23.999999999999993,22.429906542056074,3.859735634081744,5.446655116747365,9.30639075082911,-13.123515791226964,13.39509403958039,-0.9868249811625258
14.75,0.15,25.333333333333336,23.676012461059088,3.8688089069181615,5.716941310635093,9.585750217553255,-14.090262243505833,13.321857899230993,-1.0600611215119233
15.0,0.15,26.666666666666664,24.922118380062273,3.8775815713681823,5.984134798963055,9.861716370331237,-15.060402009731035,13.248318154996944,-1.1336008657459722
15.25,0.15,27.999999999999993,26.1682242990654,3.886065223957189,6.248270742231853,10.134335966189042,-16.03388833287636,13.174483351897864,-1.2074356688450525
